"","stars","text","sentiment"
"25",1,"I'm a big fan of hot yoga and have experienced many different studios in the area, and this was by far one of my least favorite experiences. I'll say as a disclaimer, that the style of bikram yoga is new to me and I was expecting more of a classic flow for the class, but that aside, it was also far from motivating or centering. There's no music, the instructor's tone felt like an auctioneer, and he didn't provide any modifications for the more difficult poses, instead going right into them and saying multiple times that they should hurt. I've never heard an instructor say that. My body didn't feel nearly warmed up enough for most of them, and I was equal parts discouraged and worried I was going to hurt myself. The room itself is carpeted which is super gross, the ceiling fans were covered in grime and the heat/steam in the room seems to be provided by individual floor units so god help you if your mat ends up in front of one. The locker rooms are also super sub par- Carpeted, dirty, half the lockers are broken, there's no water fountain on the premises, and the only perk is that you can get super scratchy towels that you have to pay $1 for. If you're looking for a great hot yoga class, I'd head to CorePower Yoga instead.",-1
"26",1,"This is a long story I've cut very short and updated on August 24, 2011, 14 months after my treatment at Select Physical Therapy.  I visited Select Physical Therapy with a hand injury that was made much worse after my 2 visits with them.  My 1st visit was at the Austin Center Blvd location and my 2nd visit was at the Medical Parkway location.  

In retrospect, before I had my first appointment, my injury was quickly healing on its own and my symptoms were very minor compared to now.  But I asked Select Physical Therapy if they were right for me since I was concerned about healing completely.  The therapist said ""yes.""  Things I needed to get done in my life were coming up soon and I figured faster healing would also be a plus if done carefully.  

Briefly stated, I strictly followed home exercises that were given to me, but they have severely injured my hand and deeply traumatized my life much more than I can say here.  I communicated to their therapist that the exercise was painful, yet she encouraged me to continue them saying this is normal.  My hand is now completely unusable as even slight movements send excruciating pain, burning into my fingers  It has been 1 since 1 year since this appointment  and my hand is still very painful even after light work. 

Though highly recommended by the manager at the Austin Center Blvd location, my appointment at the Medical Parkway location was truly uncomfortable and further damaging.  When I attempted the exercises given to me at Medical Parkway, that was the last straw for my hand.  About 5 seconds of this therapeutic exercise at my home ended with cumulative damage that had been done to my hand from the 1st appointment and I was on my own after that.  My 2nd therapist tried to defend my 1st therapist, at which I interrupted her and she appeared to change her position. She then said she had actually counseled the Jr. therapist.  I hope this positively helps their organizatiron, though I've certainly had no healing from this.  As of June 2010, I injured my right hand also shortly after my treatment at Select Physical Therapy.  This was done one month after my treatment as I wasn't able to use my left hand for several months.  As of now, after a required surgery and a stay at a psychiatric hospital, both my hands are still quite painful after light use, such as washing dishes or driving.",-1
"27",1,"BUYER BEWARE. I ordered my daughters leotard online on 8/25 and paid for priority shipping. As of 9/10 I still have not received it. I emailed them twice to follow up and no response. I live in the same state, so how long should I expect to wait with no response??",-1
"28",2,"Not worth the price, ordered the chicken wings off the lunch menu and only got 4 wings what the heck.",-1
"29",1,"Ving!  Ving!  Gas up the chainsaw of FAIL!  This place could be on fire with 1000 naked ladies inside who are all begging to sleep with me and I'd still hide every fire extinguisher I could see.

Cavalia (Cirque du Soleil) , 8pm.  Metrovino reservation, 6:15pm.  2 blocks from each other.  This is a very, very doable scenario, especially if you tell your waiter beforehand.  But....no.  

We start with the (duh) charcuterie plate.  Decent.  To be fair, I am to charcuterie plates as Jughead is to burgers.  If you want the real deal, go to Beast.  But I digress.  After we pound our meat, we nibble on some bread--which we come to find out costs $3.  Yep, you pay for bread here.  This is bad, but not quite as bad as our sneaky-ass waiter asking us in passing, ""would you care for some bread?""  Well shit dude, we have to ask? Yes, bring us some damn bread, for the love of God.  Wait, you're charging me for it?!  Suddenly I start looking suspiciously at my fork, water, napkin, salt.  What the fuck else did he sneak in here that we're getting charged for?
 
So we've got well over an hour to get served and start walking, so we sip our drinks and lose ourselves in conversation.  Then comes the wait.  You know that moment when you've waited so long that there is absolutely no higher priority than to get your waiters attention and ask him what the fuck is going on?  This period lasted 40 minutes.  I shit you not.  We were flagging down bussers and randoms.  Begging.  Pleading.  If I had a flare gun I'm confident that this guy would've missed it.  We'd been there over an hour and a half.

At 7:50pm we get our food.  In boxes.  I start shoveling my shrimp and risotto in my mouth as I walk.  Terrible.  The shrimp are mealy.  The risotto is under cooked and tastes like ammonia.  Whatever else was in there blended all together to form a white paste that made me think I'd interrupted some kind of shrimp circle jerk.  I pitched it.  Wife's steak was meh.  Shared with her to keep from starving.

Sorry Metrovino, but you fail.",-1
"30",1,"We will never go again!

Order:
Red wine, tasted like it went bad with a brownish tint
Crab cakes which were pure salt 
Main dishes for 4, soup was cold, baked potato was undercooked all meat was cold and chewy. They had 1 bottle of A1 sauce that was empty and rice was cold and no flavor, guess all the salt was used on crab cakes. Nicely told the waitress that potato was undercooked in which she replied awwww that sucks I look forward to a good potato and walked away. ....  hmmmm ok",-1
"31",1,"First impression? Not good. At all. Walk in, no greeting. I'm asked, ""To go?"" I respond, ""Yes"". The host"" replies, ""Oh, thank God!"" I get that I walked in at 2AM when you guys close at 3. I would never consider eating in that close to an establishment's closing time. I've been a ""server"" before. But that was completely rude and presumptuous.

My bf ordered sesame chicken and asked to get lo mein with it. The manager quickly cuts him off, and says that it only comes with rice. After we interjected, and SLOWLY explained the point was to PAY extra to eat what we preferred, she huffed that it would be $5 to add it on. Ok..? So? And? We paid, and after a few minutes we got our food.

Not even going to bother leaving a note on the food. Haven't eaten it yet. But this place was trash. And I'll never be back.",-1
"32",1,"I love Home Depot; Ive been a loyal patron for decades.  I hate this location with a passion.

This store is the poster child for stock-outs.  

The inventory selection is lackluster in virtually all departments compared to other stores.

They also would not stand behind a $1000 dishwasher that leaked immediately after being installed.  

I will drive 20 minutes further to another Home Depot just to avoid this one.  
They appear to have no commitment to quality at this location.",-1
"33",1,"How do places that treat their customers so badly stay in business? If I could give this place no stars, I would. 

I came in here with a group of friends on a Saturday afternoon. The place wasn't busy at all. We took a seat at one of the tables, and went to the bar to order drinks. We were informed that we needed to wait for the waitress to come around to us and couldn't order at the bar. Kind of odd, but we obliged. It took another 10 minutes for our waitress to show up - she seemed pissed when some of us asked for a menu, and had a serious attitude problem when someone asked about beer selections. You work at a pub, what the hell do you expect lady? She took drink orders, and the rest of us said we would order when she came back with drinks. Except, she never came back. We waited a good 15-20 minutes, and when one of us spotted her standing near the register chatting away with another employee like our table didn't even exist, we decided it was time to leave.

Waste of time, rude waitresses, god awful, non-existent service. This place sucks.",-1
"34",1,"Absolutely the worst patient care and concern possible!  Today is one of many incidents I've encountered here.  However,  it's by far the worst!   I have had to wait on my dr over an hour.  Being told that she is running over 45 minutes behind.   Let's just say it's been 80 minutes now and still haven't see the dr.     I have complained many times before about this facility but today's lack of concern tops the cake!     

I strongly suggest a different facility or health system because this one is awful!!!!!",-1
"35",1,"If I could put 0 stars I would! This is the worst experience I ever had in a hotel... I've been planning my friends birthday visit to epcot for months and the only reason I choose this Hotel was because it is close to the park. We had COCKROACHES and MOLD in the room, I call reception and the lady there tol me she will send someone. Maintenance knock the door and they were planning to spray the room with pesticides with us inside and pretended for us to sleep with the venom. CUSTOMER SERVICE WAS AWFUL. The front desk lady was indiferent towards the situation and they said hotel was booked and they couldn't change rooms.
DO NOT RECOMMEND THIS HOTEL IS DIRTY AND LACK OF INTEREST FOR THE GUEST.",-1
"36",1,"I think this place has potential, but our experience was lacking. I ordered the special: sausage, gravy, and sweet potatoes. About 1/3 of the sweet potatoes were actually cooked, the rest were hard and raw. The sausage and gravy did have great flavor. We also got the ham and cheese which was just ok. Careful not to break tooth on the hard sugar crystals...we actually thought we ran into a piece of plastic on the first bite. 

Servers seemed really unorganized which made the whole thing feel unprofessional.

There are so many great places in Portland we are sad we wasted a breakfast here.",-1
"37",1,"Not good. food was bland and very expensive for the gross quality. Disappointing because i liked the paintings.",-1
"38",2,"Yeah..... It's so hard to find a GOOD Chinese place in Boston. Why is that? I feel like the search ""best Chinese food in Boston"" should come up with something legit on Google but it doesn't. I had the Chicken and Broccoli. It was a tad too salty. There wasn't enough broccoli in the dish. The vegetable fried rice, was not actually fried. It was tossed with soy sauce and 5 peas and that was that. It was cheap, the service wasn't good. I had food regret when I left. Should have hit up the food trucks down the street instead. You live and you learn!",-1
"39",1,"Valvolene bought our beloved Henry's and they have done the SHITTIEST JOB of transitioning people. Raised prices, cut important procedures... 

Showed up today and their systems have been down for DAYS so they can't take a card, said the oil change will take longer but they are offering no extra discount. There is no more discount for Yelp check-in.... and again, they have raised their prices. The guys working here said that haven't been table to get in touch with anyone to help them get their systems back up-- for days? Is this how Valvolene supports their workers? Unbelievable. Certainly doesn't make me feel confident in this service. This is likely the last oil change I will get here. 

Oh, and they guys haven't gotten their new uniforms yet so.... 

And they don't check reverse lights anymore in case the car rolls backward? Um... seriously? 

Corporate: support your workers


In response to your response-- you should know your own procedures better.  Yes, you now take customers keys- this is after you check all of the other lights with the KEYS IN THE CAR- so it would be very easy to check reverse lights. Your response was unsatisfactory at best.",-1
"40",1,"We recently ate at the Boston lobster feast.  The service was ok, however the price for drinks and food ia crazy high.  We love seafood, but this was by far worse than any seafood we have eaten out.  The lobster was very tough and the salad bar was limited. Keep looking... dont settle",-1
"41",2,"Two months, no days off, 80-90 hr work weeks. Friends gave up, they are all mad, including my mom, haven't called her in 4 months... I never knew why I have such a hard time being a decent human being; you  know, politically correct, bright and shiny, good for society, mortgage, rrsps, social butterfly, smart kids, SUV, little money on very conservative mutual funds, a good Samaritan. I tried, believe it or not... 

Didn't quite work out. I was back to the jungle, doing whatever I want, whenever I want very shortly. It is not my choice, just like James Brown said ''it is what it is...''

I invited a friend out for her birthday and she was kind enough join me. Hopefully I still have some social skills left to keep her entertained. She mentioned Coast... Never been, why not, sure. 

One bad addiction of mine; I love christmas music. At first it comes across entertaining to people, but it is at a very annoying level. So I popped some christmas music on my ipod and hopped on my scooter to head down to the restaurant. I am dreaming of a white christmas. I know it is June, but the song was written in California by Irving, him dreaming of a snowy Chritsmas, at least that is what I was told.

First impression; kind of Joe Forte's without the Joe. You never get real good food out of this kinda joints. Usually decently executed, crowd pleasing, yet no real character...The hostess arrives with two menus, my company is not here yet, so I still have a little time to have my last panic attack and maybe listen to one last ""Santa Baby, by Madonna''.

The size of the menus are hilarious. They are real life size tablets. I am sitting in this tiny table with two giant, giant menus, feeling like Moses all ready. However you can not put them down, there are no space. How about wrapping these bad boys around your head and start a whirling dervish party. Each menu would yield to 2 medium size cone shaped dervish hat. For sure. Oh there is my company, be decent now, you do not need another woman with bad memories about you. I am haunted by bad karma enough all ready.

Well, let's get to the food. Too many selections... Flat breads and variety of salads, excessive choice of steaks...Bad bad signs of a great medium. We have ordered the sushi tile for two and scallops for entrees, bottle of beautiful Riesling. The sushi tile looked and tasted very appetizing with the exception of skin-on yellow tail sashimi -if I am not wrong- Sushi cooks would pour boiling water on the skin of the fish before serving just to soften it up and partially cook the skin with keeping the flesh raw, let's say a water baste. Very original to watch, however soggy fish skin is very unlikable for that size. Loup de mer, red mullet, anchovies and such I do not mind, but on this particular one, I had to chew through fish skin...Other than that, it is good.

Entree; Scallops with fennel, potatoes, olives and canned artichokes. Scallops, lack seasoning, excellent temperature though (except one, raw). I do not think they are alive fresh, but a very good quality frozen shellfish, which these days there is nothing wrong with it. The vegetable garnish I am not a big fan, which lemony seasoning (it was some from of beurre blanc if I am not mistaken) covers the flaws of it.

First things first I do not get the fascination of canned artichokes in this culture. That is a very hard vegetable to master to start with and the canned variety is not even a close substitute for the real thing. It is good for pizza or salads under $10. If I am paying $36 for an entree; either do not have it on your menu, or get a fresh one, clean, cook and serve appropriately. Putting canned artichoke is more like a tex-mex Mediterranean flair. At that price range, it does bother me.

And as far as the lightly grilled red pepper goes; some vegetables are not meant to be eaten crispy. Like eggplant, red pepper and such. As they roast and get soft, the natural sugars would work and transform these vegetables into something so incredibly delicious, that you would not imagine. There were two occasions my grandma prepped roasted red pepper with vinegar and garlic. When she was in the weeds for dinner, to keep my grandpa occupied until she gets the entree going, or whenever she wanted to get laid.

All these unfocused restaurants trying to please everybody...Tsk tsk.. ''A great recipe for failure'' said Bill Cosby if I am not wrong.  A seafood restaurant has to serve the freshest seafood that their coast line offers. Nothing else. That is what the rest of the world is doing rather than Starbucks or Safeway style customer service style focused menus. Oh, by the way, those are the great simple restaurants that you remember highly from your last vacation in the old world.

Hopefully Grandma won't see this review. Cross those fingers.",-1
"42",1,"Normally when you call this place to make an order either to pick it up or thru phone, they ask you for the phone number.. so basically they have your profile. I always get the exact same thing lately they've been messing it up ALOT.. if a customer orders something and the restaurant sadly ran out of one of the ingredients for the food. they should let the customer know if they can replace it with something else maybe.(I worked at a restaurant for years) because the customer could decide if they want to continue with the Same order or maybe change it for something else. they made my order complete different and didn't even told me before I paid btw it tasted horrible. Now that I'm calling the place they're not even answering the phone. Thanks but never again.. there's better Chinese places on the same neighborhood. I'm done with this place(this is supposed to be a typical fried rice with veggies) but they just threw an egg in there",-1
"43",1,"Everything started out great and the restaurant has a great view from the balcony, however I ordered the fish tacos and one of the three was completely raw.  I mentioned it to the waitress and she said she would let the manager know.  She then brought over the bill without mentioning it at all.  When I told her the manager never came by she said she told him and because I ate two of the three tacos they decided that it wasn't an issue...Very strange and horrible customer service!",-1
"44",2,"My friends brought me here to surprise me for my birthday. The only surprise I got was the fishy, cheesy smell that seemed to permeate the whole restaurant. It was disgusting and I have to say, waiting in that restaurant made me lose any semblance of an appetite. 

The food wasn't too bad, big portions for the price. But I've certainly had better Italian at half the price. There was nothing spectacular; as a group, we started off with the Calamari and the Antipasto. The calamari was bland, but the antipasto wasn't too bad. I ordered the Lobster Ravioli, which was pretty good; my friends ordered the Rigatoni Alla Rachele (which was eggplant parmesan, chicken parmesan, sausage, and meatballs on top of rigatoni), the chicken parmesan pasta dish, and the chicken marsala. Overall, the Rigatoni Alla Rachele was the best bang for the buck. 

However, the mediocre food was not enough to make up for the atrocious service. We literally had to ask for the check five times...and it took another 30 minutes for them to actually bring us the check. The waiter was funny, but the service itself was just ridiculous. Granted, it was a busy night, but some of the staff was just standing around. 

There are better options in Allston; if I was really hungry in the area, I would forgo my love of Italian and go to either BonChon or Kaju Tofu House for Korean food.",-1
"45",1,"Dude honestly the worst service ever!!  1 server for 6 big tables ..we got there right at 5pm and we were the first ones seated and we ordered right away just in case .. the other 5 tables filled up shortly after and check this out ..we were the last ones to get our food and it came out little by little not all at once like expected, my plate(Beef W/Snow Peas)  was never brought out : / thank god I'm a pig and I picked off everyone's plate or I'd be SOL , our server finally came back around to give us our check and she apologized but it didn't seem sincere.. it was more like I'm Sorry now buzz off punks!! As far as the food it was average. HO HO WAS A BIG NO NO",-1
"46",1,"Just sat here for 10 min after being seated with no service. No drinks no introduction nothing. The host seated us and gave us menus and we just sat. Decided to get up and leave. Won't be back.",-1
"47",1,"We frequent this Westlake Popeye's maybe 3-4 times year because we get a craving for fried chicken and there are no other choices in the area. Every time, we pledge not to return. This fast food restaurant has NEVER gotten our order correct. The current workers cooking the chicken cannot understand the orders that come up on the screen because they don't speak English (first clue?). So we decided if we physically go inside to place our to go orders (instead of the drive-thru), we can at least get them to correct our order before getting all the way home. So far, they have a consistent track record...100% messing up our orders no matter what we do. Hint: you cannot tell if your chicken is spicy or mild by just ""eyeballing"" and inevitably we get home and have whatever they decide to throw in the boxes. Their motto s/b: ""Have it our way, or too bad!""",-1
"48",1,"Walked in and an employee was sitting down feeding her face saying sit wherever you like.  We chose a seat inside. We were served our drinks pretty quick but it went down hill from there . Bottom line is the service and the food left alot to be desired.  The servers never came to check on us until we said excuse me mam.  When we expressed our concern to one of the servers her response was they have other customers.  Thought this was the same as the one on Sand Lake but I know now it is definitely not.  Asked for the owner and he wasn't there so they gave me a card.  Guess what, website on card doesn't exist.  Will never go back!  Awful!!",-1
"49",2,"Completely agree with Angie C.  Food was mediocre at best.  Don't even bother ordering most of the appetizers (we had a combo) or the hummus.  Main course was pretty decent, i think we had the same one as Angie C but the dessert (baklava) was possibly the worst I've had.",-1
"50",2,"IF THIS IS AUTHENTIC VIETNAMESE FOOD, THEN WHY DONT I FEEL AT HOME?!?!
first off, they use broken rice... broken rice = half off in stores because the grains are broken... the texture tastes like mush and not full grains of rice. The service here leaves much to be desired... The food description are not really correct.. The pho taste bland and too much MSG. I make much better pho, but who got 14 hours to cook a pot of soup for 2? The attention to detail..... well not much... i travel into dorchester for vietnamese food... thank you very much",-1
"51",2,"Although they have better than average food I will not be back.

I was approached in the alley near the restaurant by the young man that works the afternoon shift.  He said he recognized me from the restaurant and ask if I would loan him money. I declined his request.

I will not go back. How might the employee retaliate?",-1
"52",1,"This used to be one of our favorites, but it has become a ""no go"" for our family.  Food quality has gone down, but it is honestly the service that has left us totally flabbergasted.

The final straw was going to dinner with friends who have severe food allergy and when he ordered something that included shellfish, the waiter could care less and the manager wouldn't come to the table - sending the hostess over instead.",-1
"53",2,"Totally disappointed! This was our first time at the new location. I was totally disappointed with the gather's salad. It's one of the best and most consistent items on their menu! However, it was a fraction of the size it used to be at their old location. Such a bummer :-/ The only reason I enjoyed going their was for the salad.",-1
"54",1,"I don't enjoy the food here. Not native Chinese food. And most disappointing is that they only receive cash without notifying us at first....",-1
"55",2,"We have been here twice. The first time was good. Bartender took REALLY long to bring us our check, considering we ate at the bar, in plain view. Went back again yesterday...wish I hadn't. The entire reason we went was so my bf could get the steak he liked before. I have never seen him send back food, but the steak he received was not just rare, but raw.  Sent it back and they brought out the same steak, still raw. Third time around they brought back the SAME steak. Of course it was done now, past the point of chewing.  Our meal was discounted in no way, which was the bummer at the end. That and the fact that all the waiters take your orders on a phone, so you have no eye contact, and you feel like your on a date with someone who is texting the whole time.  I want to like this place, but after yesterday I doubt i'll be back.",-1
"56",2,"The regular beef broth here is flavorful and texture of the noodles are very smooth, sometimes the beef here is tender and other times really tough

Their ""mild"" spice option is spicy as hell, I've had lots of spicy noodles from restaurants all around the area but damn this mild spice level murders them all

There's tons of options for noodles in the area but if you want super spicy you should try their hot level

Pros:
+ Noodle texture
+ Beef broth

Cons:
- Mild is freaking spicy
- Inconsistency
- Doesn't offer tea or water compared to alternatives",-1
